City,Title,Type,Price,Surface,Location,URL,Image,Reference,Page
Sousse,Terrain habitation ind. en vente,,220 000 DT,399 m²,"Hergla, Rue nozha",https://www.tecnocasa.tn/vendre/terrain/sousse/hergla/55436.html,,,15
Sousse,Terrain habitation ind. en vente,,167 400 DT,372 m²,"M'Saken, Rue m'saken",https://www.tecnocasa.tn/vendre/terrain/sousse/m-saken/55313.html,,,15
Sousse,Terrain habitation ind. en vente,,111 000 DT,285 m²,Akouda,https://www.tecnocasa.tn/vendre/terrain/sousse/akouda/53411.html,,,15
Sousse,Terrain habitation collective en vente,,544 000 DT,544 m²,"Sousse Centre Ville, Hamid El Ghazeli - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/51531.html,,,15
Sousse,Terrain habitation ind. en vente,,310 000 DT,565 m²,"Hergla, Centre ville Hergla",https://www.tecnocasa.tn/vendre/terrain/sousse/hergla/54710.html,,,15
Sousse,Terrain industriel en vente,,550 000 DT,1100 m²,Akouda,https://www.tecnocasa.tn/vendre/terrain/sousse/akouda/54458.html,,,15
Sousse,Terrain habitation ind. en vente,,232 000 DT,830 m²,Akouda,https://www.tecnocasa.tn/vendre/terrain/sousse/akouda/52883.html,,,15
Sousse,Terrain habitation ind. en vente,,850 000 DT,446 m²,Sousse Centre Ville - La Corniche,https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/54870.html,,,15
Sousse,Terrain habitation ind. en vente,,310 000 DT,459 m²,"Sousse Centre Ville, Cité olympique - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/43392.html,,,16
Sousse,Terrain habitation ind. en vente,,237 000 DT,304 m²,"Sousse Centre Ville, Cité olympique - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/55397.html,,,16
Sousse,Terrain habitation ind. en vente,,247 000 DT,353 m²,"Sousse Centre Ville, Rue Farabi - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/48067.html,,,16
Sousse,Terrain habitation ind. en vente,,435 000 DT,414 m²,Sousse Centre Ville - Bouhsina,https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/54114.html,,,16
Sousse,Terrain habitation collective en vente,,401 000 DT,501 m²,"Sousse Riadh, Avenue imam abou hannifa - Cité Riadh",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-riadh/52625.html,,,16
Sousse,Terrain habitation ind. en vente,,271 000 DT,417 m²,"M'Saken, Cité Ennour",https://www.tecnocasa.tn/vendre/terrain/sousse/m-saken/55601.html,,,16
